Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,Continent
France,24.14603,24.17227,24.19774,24.21969,24.23314,24.25001,24.265220000000003,24.28881,24.323520000000002,24.36112,24.394460000000002,24.428279999999997,24.45819,24.4818,24.49754,24.51697,24.540570000000002,24.56626,24.59732,24.62642,24.65746,24.69151,24.72699,24.7537,24.77467,24.794729999999998,24.81034,24.82031,24.82949,Europe
French Polynesia,26.294140000000002,26.4994,26.71162,26.924770000000002,27.144859999999998,27.36843,27.58765,27.81002,27.985640000000004,28.2151,28.444190000000003,28.62782,28.81255,28.99505,29.217570000000002,29.40362,29.61634,29.82657,30.0442,30.222820000000002,30.4384,30.65485,30.87058,31.076009999999997,31.27705,31.479940000000003,31.673540000000003,31.86938,32.06648,Oceania
Gabon,21.903000000000002,22.02049,22.13363,22.23929,22.3582,22.46353,22.56431,22.66049,22.77291,22.8877,23.00592,23.14247,23.26579,23.41311,23.55586,23.71741,23.89582,24.07538,24.26376,24.43896,24.60761,24.76765,24.91982,25.07514,25.23539,25.40611,25.58094,25.764570000000003,25.95121,Africa
Gambia,20.033070000000002,20.14893,20.273629999999997,20.41185,20.550729999999998,20.69229,20.86157,21.02528,21.18862,21.36146,21.53997,21.71549,21.87857,22.04121,22.19134,22.3403,22.49764,22.66777,22.8482,23.04659,23.23764,23.43574,23.631339999999998,23.81644,24.01381,24.20729,24.410339999999998,24.61564,24.82101,Africa
Georgia,25.7688,25.818929999999998,25.86046,25.91248,25.95523,26.00093,26.03347,26.060670000000002,26.08604,26.09822,26.082279999999997,26.017970000000002,25.88204,25.70626,25.561429999999998,25.48309,25.45346,25.461920000000003,25.498160000000002,25.542279999999998,25.59522,25.675910000000002,25.77232,25.88601,26.00189,26.1218,26.21885,26.34015,26.45014,Asia
Germany,24.72684,24.77291,24.81385,24.850179999999998,24.88941,24.9334,24.97543,25.011999999999997,25.0546,25.102529999999998,25.14284,25.1968,25.25234,25.28572,25.318279999999998,25.351029999999998,25.39147,25.42401,25.4601,25.48559,25.51645,25.547520000000002,25.57631,25.60041,25.62407,25.64736,25.673379999999998,25.70588,25.73903,Europe
Ghana,20.88734,20.92107,20.9527,20.98174,21.05385,21.12942,21.22626,21.344070000000002,21.46354,21.5896,21.698970000000003,21.8301,21.97155,22.117079999999998,22.25509,22.39609,22.54765,22.69738,22.85303,23.00865,23.171039999999998,23.32327,23.47061,23.6076,23.75587,23.89845,24.04518,24.19248,24.33014,Africa
Greece,24.08765,24.12624,24.15597,24.17237,24.20835,24.242739999999998,24.24868,24.26067,24.29445,24.33792,24.36139,24.39794,24.430870000000002,24.451729999999998,24.48214,24.50314,24.53248,24.563229999999997,24.58858,24.62485,24.65409,24.69536,24.73157,24.77047,24.8148,24.84957,24.87347,24.897170000000003,24.92026,Europe
Greenland,25.88384,25.93564,25.97113,26.0033,26.03245,26.04354,26.06956,26.0922,26.1235,26.16381,26.18693,26.211660000000002,26.224459999999997,26.23635,26.25965,26.29168,26.32197,26.35991,26.39041,26.42237,26.4604,26.491540000000004,26.52729,26.558020000000003,26.582440000000002,26.612479999999998,26.63008,26.65427,26.680190000000003,North America
Grenada,24.04597,24.13171,24.21969,24.30735,24.40606,24.50783,24.62475,24.75666,24.8882,25.02804,25.17063,25.316999999999997,25.45151,25.58239,25.70459,25.806820000000002,25.91009,25.99494,26.08856,26.19033,26.29778,26.42088,26.54267,26.664009999999998,26.776999999999997,26.88584,27.0136,27.171129999999998,27.31948,North America
